,precision,recall,f1-score,support
0,0.8493023255813954,0.8821256038647343,0.8654028436018958,1035.0
1,0.6347305389221557,0.5668449197860963,0.5988700564971752,374.0
accuracy,0.7984386089425124,0.7984386089425124,0.7984386089425124,0.7984386089425124
macro avg,0.7420164322517755,0.7244852618254153,0.7321364500495355,1409.0
weighted avg,0.7923471458719876,0.7984386089425124,0.7946553188487621,1409.0
