,precision,recall,f1-score,support
0,0.8273703041144902,0.893719806763285,0.8592661402693915,1035.0
1,0.6219931271477663,0.4839572192513369,0.544360902255639,374.0
accuracy,0.7849538679914834,0.7849538679914834,0.7849538679914834,0.7849538679914834
macro avg,0.7246817156311283,0.6888385130073109,0.7018135212625153,1409.0
weighted avg,0.7728557092347493,0.7849538679914834,0.7756788024289774,1409.0
